Date,BTC,ETH,XRP,XLM,LTC,ADA
2019-07-02,10938.75,297.57,0.41125,0.10665,124,0.08432
2019-07-03,11991.89,302.89,0.40666,0.10578,123.15,0.08315
2019-07-04,12000,302.74,0.4052,0.10576,127.03,0.08249
2019-07-05,11406.83,294.89,0.38825,0.10182,120.99,0.07814
2019-07-06,11665,296.71,0.4099,0.10594,121.8,0.08076
2019-07-07,11538,309.69,0.4007,0.10573,120.35,0.08004
2019-07-08,12338.03,313.74,0.403,0.1058,125.07,0.08193
2019-07-09,12794.73,318.19,0.40725,0.10477,124.08,0.08073
2019-07-10,13147.08,314.18,0.39646,0.10211,120.13,0.07835
2019-07-11,12111.73,289.23,0.36285,0.09489,108.33,0.0717
2019-07-12,11885,278.99,0.34988,0.10112,107.02,0.07057
2019-07-13,11799.98,275.04,0.34439,0.10048,105.03,0.07149
2019-07-14,11452,269.74,0.33549,0.0967,101.9,0.0671
2019-07-15,11100,235.58,0.32376,0.08778,92.99,0.06015
2019-07-16,11028,234.5,0.32032,0.0882,91.91,0.06095
2019-07-17,9957,219.86,0.32365,0.08371,94.65,0.05777
2019-07-18,10788,229.65,0.327,0.09344,104.5,0.05965
2019-07-19,10769.71,226.23,0.32215,0.095,101.26,0.06068
2019-07-20,11068.99,235.09,0.34094,0.09783,105.88,0.06509
2019-07-21,10817.9,229.66,0.33501,0.09475,101.41,0.064
2019-07-22,10683.16,228.34,0.33259,0.09165,100.91,0.06216
2019-07-23,10343.97,219.55,0.32135,0.08872,95.35,0.0596
2019-07-24,9937,218.28,0.31905,0.08658,97.45,0.05904
2019-07-25,10175,225.12,0.323,0.08791,96.67,0.06069
2019-07-26,9889.98,220,0.32514,0.08975,94.52,0.06297
2019-07-27,10188.66,223.3,0.32621,0.08978,96.09,0.06354
2019-07-28,9594.99,213.52,0.31478,0.08491,90.9,0.06018
2019-07-29,9729,215.83,0.31478,0.08568,92.26,0.06258
2019-07-30,9714.28,214.36,0.32213,0.08484,92.71,0.06141
2019-07-31,10109.8,218.79,0.32348,0.0852,99.95,0.06108
2019-08-01,10467.86,219.39,0.3199,0.08404,100.59,0.06035
2019-08-02,10670,222.18,0.31785,0.0832,98.77,0.05882
2019-08-03,10904.77,224.51,0.31747,0.083,96.7,0.0583
2019-08-04,11040,223.34,0.32298,0.08262,94.8,0.0583
2019-08-05,11937.52,236.25,0.331,0.08436,106.77,0.0582
2019-08-06,12330.7,239.15,0.32421,0.08244,99.32,0.05657
2019-08-07,12141.17,231.25,0.31688,0.07926,94.45,0.0543
